subject,condition,component,amplitude,latency
M1_session_21__set_3_coilTpa.h5,pre,P180,4.233515,196.8
M1_session_21__set_3_coilTpa.h5,imagery,P30,3.3792896,29.8
M1_session_21__set_3_coilTpa.h5,imagery,N45,3.136493,35.0
M1_session_21__set_3_coilTpa.h5,imagery,P60,2.4762099,50.0
M1_session_21__set_3_coilTpa.h5,imagery,N100,3.5163128,140.0
M1_session_21__set_3_coilTpa.h5,imagery,P180,4.328482,177.4
M1_session_21__set_3_coilTpa.h5,post,P30,0.0,20.0
M1_session_21__set_3_coilTpa.h5,post,N45,0.0,35.0
M1_session_21__set_3_coilTpa.h5,post,P60,0.0,50.0
M1_session_21__set_3_coilTpa.h5,post,N100,0.0,80.0
M1_session_21__set_3_coilTpa.h5,post,P180,0.0,150.0
M1_session_21__set_4_coilqppa.h5,pre,P30,2.5757565,40.0
M1_session_21__set_4_coilqppa.h5,pre,N45,3.3487637,45.0
M1_session_21__set_4_coilqppa.h5,pre,P60,2.9645748,50.0
M1_session_21__set_4_coilqppa.h5,pre,N100,4.1553245,111.8
M1_session_21__set_4_coilqppa.h5,pre,P180,3.2000973,201.8
M1_session_21__set_4_coilqppa.h5,imagery,P30,2.84892,34.4
M1_session_21__set_4_coilqppa.h5,imagery,N45,2.8458622,35.0
M1_session_21__set_4_coilqppa.h5,imagery,P60,2.4017336,79.8
M1_session_21__set_4_coilqppa.h5,imagery,N100,4.030553,110.4
M1_session_21__set_4_coilqppa.h5,imagery,P180,3.1382627,202.4
M1_session_21__set_4_coilqppa.h5,post,P30,0.0,20.0
M1_session_21__set_4_coilqppa.h5,post,N45,0.0,35.0
M1_session_21__set_4_coilqppa.h5,post,P60,0.0,50.0
M1_session_21__set_4_coilqppa.h5,post,N100,0.0,80.0
M1_session_21__set_4_coilqppa.h5,post,P180,0.0,150.0
M1_session_22__set_1_coilqppa.h5,pre,P30,1.5977489,23.2
M1_session_22__set_1_coilqppa.h5,pre,N45,1.9666994,52.8
M1_session_22__set_1_coilqppa.h5,pre,P60,2.160971,75.6
M1_session_22__set_1_coilqppa.h5,pre,N100,2.4267921,135.4
M1_session_22__set_1_coilqppa.h5,pre,P180,3.5944927,207.4
M1_session_22__set_1_coilqppa.h5,imagery,P30,1.6443225,24.6
M1_session_22__set_1_coilqppa.h5,imagery,N45,2.0637887,56.6
M1_session_22__set_1_coilqppa.h5,imagery,P60,2.46961,75.0
M1_session_22__set_1_coilqppa.h5,imagery,N100,2.6970887,140.0
M1_session_22__set_1_coilqppa.h5,imagery,P180,3.0502315,177.0
M1_session_22__set_1_coilqppa.h5,post,P30,0.0,20.0
