subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,amplitude_abs_mean_topn_uv,amplitude_signed_mean_topn_uv,latency_mean_topn_ms,peak_amplitude_uv,peak_latency_ms,peak_channel_idx,n_selected,peak_channel,source_files,source_originals
07IK,42,real,M1_AP,after,p60,55.0,70.0,5.692686754601698,5.692686754601698,69.53333333333332,5.825208834409714,69.39999999999998,47,3,Fpz,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,real,M1_AP,after,n100,80.0,120.0,9.087365260024866,-9.087365260024866,118.8,-9.25987818300724,119.0,27,3,FT10,session_42__set_4__cleaned_SOUND.mat; session_42__set_8__cleaned_SOUND.mat,03_07IK_M1_AP_52MSO_real.hdf5; 07_07IK_M1_AP_52MSO_real.hdf5
07IK,42,MI,M1_PA,rest,n20,10.0,25.0,3.929575726042191,-3.929575726042191,18.73333333333335,-4.0787716779112815,13.800000000000011,54,3,PO8,session_42__set_3__cleaned_SOUND.mat; session_42__set_7__cleaned_SOUND.mat,02_07IK_M1_PA_38MSO_MI.hdf5; 06_07IK_M1_PA_38MSO_MI.hdf5
07IK,42,MI,M1_PA,rest,p30,20.0,40.0,9.411149262388548,9.411149262388548,30.799999999999994,9.66188856780529,29.80000000000001,9,3,C3,session_42__set_3__cleaned_SOUND.mat; session_42__set_7__cleaned_SOUND.mat,02_07IK_M1_PA_38MSO_MI.hdf5; 06_07IK_M1_PA_38MSO_MI.hdf5
07IK,42,MI,M1_PA,rest,n45,40.0,55.0,5.040517704437177,-5.040517704437177,48.666666666666664,-5.347680731415749,44.39999999999998,48,3,FCz,session_42__set_3__cleaned_SOUND.mat; session_42__set_7__cleaned_SOUND.mat,02_07IK_M1_PA_38MSO_MI.hdf5; 06_07IK_M1_PA_38MSO_MI.hdf5
07IK,42,MI,M1_PA,rest,p60,55.0,70.0,3.1928640462706483,3.1928640462706483,56.133333333333326,3.474486103951931,55.39999999999998,38,3,CP3,session_42__set_3__cleaned_SOUND.mat; session_42__set_7__cleaned_SOUND.mat,02_07IK_M1_PA_38MSO_MI.hdf5; 06_07IK_M1_PA_38MSO_MI.hdf5
07IK,42,MI,M1_PA,rest,n100,80.0,120.0,4.57098320628206,-4.57098320628206,100.26666666666667,-4.74657119601965,91.80000000000001,28,3,CP6,session_42__set_3__cleaned_SOUND.mat; session_42__set_7__cleaned_SOUND.mat,02_07IK_M1_PA_38MSO_MI.hdf5; 06_07IK_M1_PA_38MSO_MI.hdf5
07IK,42,MI,M1_PA,onset,n20,10.0,25.0,3.3992501927167176,-3.3992501927167176,19.80000000000001,-3.4442853438854217,24.19999999999999,27,3,FT10,session_42__set_3__cleaned_SOUND.mat; session_42__set_7__cleaned_SOUND.mat,02_07IK_M1_PA_38MSO_MI.hdf5; 06_07IK_M1_PA_38MSO_MI.hdf5
07IK,42,MI,M1_PA,onset,p30,20.0,40.0,7.448353725771109,7.448353725771109,29.73333333333333,7.470679059922695,30.0,9,3,C3,session_42__set_3__cleaned_SOUND.mat; session_42__set_7__cleaned_SOUND.mat,02_07IK_M1_PA_38MSO_MI.hdf5; 06_07IK_M1_PA_38MSO_MI.hdf5
07IK,42,MI,M1_PA,onset,n45,40.0,55.0,5.253890992502371,-5.253890992502371,42.333333333333314,-5.498614765703678,43.39999999999998,48,3,FCz,session_42__set_3__cleaned_SOUND.mat; session_42__set_7__cleaned_SOUND.mat,02_07IK_M1_PA_38MSO_MI.hdf5; 06_07IK_M1_PA_38MSO_MI.hdf5
