subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,amplitude_abs_mean_topn_uv,amplitude_signed_mean_topn_uv,latency_mean_topn_ms,peak_amplitude_uv,peak_latency_ms,peak_channel_idx,n_selected,peak_channel,source_files,source_originals
04KK,39,real,M1_AP,after,p60,55.0,70.0,5.370041170567274,5.370041170567274,55.26666666666667,5.4288366895914075,55.0,29,3,P8,session_39__set_3__cleaned_SOUND.mat; session_39__set_5__cleaned_SOUND.mat,03_04KK_M1_AP_50MSO_real.hdf5; 05_04KK_M1_AP_50MSO_real.hdf5
04KK,39,real,M1_AP,after,n100,80.0,120.0,10.85377480427424,-10.85377480427424,87.26666666666667,-10.896062117815017,86.39999999999998,9,3,C3,session_39__set_3__cleaned_SOUND.mat; session_39__set_5__cleaned_SOUND.mat,03_04KK_M1_AP_50MSO_real.hdf5; 05_04KK_M1_AP_50MSO_real.hdf5
04KK,39,real,PPC_L,rest,n20,10.0,25.0,6.914203701217969,-6.914203701217969,23.666666666666668,-6.976082356572151,24.399999999999977,29,3,P8,session_39__set_9__cleaned_SOUND.mat,09_04KK_PPC_L_35MSO_real.hdf5
04KK,39,real,PPC_L,rest,p30,20.0,40.0,9.702617626190186,9.702617626190186,21.133333333333326,9.966351661682129,20.399999999999977,43,3,P1,session_39__set_9__cleaned_SOUND.mat,09_04KK_PPC_L_35MSO_real.hdf5
04KK,39,real,PPC_L,rest,n45,40.0,55.0,8.82587449769179,-8.82587449769179,40.466666666666676,-9.095511295199394,40.0,63,3,TP8,session_39__set_9__cleaned_SOUND.mat,09_04KK_PPC_L_35MSO_real.hdf5
04KK,39,real,PPC_L,rest,p60,55.0,70.0,6.292644701401393,6.292644701401393,55.86666666666665,6.363411512374878,55.39999999999998,19,3,Pz,session_39__set_9__cleaned_SOUND.mat,09_04KK_PPC_L_35MSO_real.hdf5
04KK,39,real,PPC_L,rest,n100,80.0,120.0,8.637594219644862,-8.637594219644862,116.13333333333334,-8.682885038256645,119.60000000000002,22,3,C4,session_39__set_9__cleaned_SOUND.mat,09_04KK_PPC_L_35MSO_real.hdf5
04KK,39,real,PPC_L,onset,n20,10.0,25.0,7.629279459317526,-7.629279459317526,22.93333333333332,-7.73324725985527,24.19999999999999,29,3,P8,session_39__set_9__cleaned_SOUND.mat,09_04KK_PPC_L_35MSO_real.hdf5
04KK,39,real,PPC_L,onset,p30,20.0,40.0,9.113468211889268,9.113468211889268,21.066666666666663,9.30498809814453,20.19999999999999,43,3,P1,session_39__set_9__cleaned_SOUND.mat,09_04KK_PPC_L_35MSO_real.hdf5
04KK,39,real,PPC_L,onset,n45,40.0,55.0,6.094972894837459,-6.094972894837459,41.26666666666667,-6.119267435073852,42.80000000000001,54,3,PO8,session_39__set_9__cleaned_SOUND.mat,09_04KK_PPC_L_35MSO_real.hdf5
04KK,39,real,PPC_L,onset,p60,55.0,70.0,5.172850928107898,5.172850928107898,58.73333333333333,5.324132480621338,55.0,43,3,P1,session_39__set_9__cleaned_SOUND.mat,09_04KK_PPC_L_35MSO_real.hdf5
04KK,39,real,PPC_L,onset,n100,80.0,120.0,6.657637346188228,-6.657637346188228,89.8,-6.7221705746650695,90.19999999999999,61,3,AF8,session_39__set_9__cleaned_SOUND.mat,09_04KK_PPC_L_35MSO_real.hdf5
04KK,39,real,PPC_L,after,n20,10.0,25.0,4.549363820552826,-4.549363820552826,17.933333333333355,-4.586995770931244,17.600000000000023,29,3,P8,session_39__set_9__cleaned_SOUND.mat,09_04KK_PPC_L_35MSO_real.hdf5
04KK,39,real,PPC_L,after,p30,20.0,40.0,6.7068899239103,6.7068899239103,22.066666666666663,7.036995459794998,20.19999999999999,43,3,P1,session_39__set_9__cleaned_SOUND.mat,09_04KK_PPC_L_35MSO_real.hdf5
04KK,39,real,PPC_L,after,n45,40.0,55.0,5.315268580118815,-5.315268580118815,40.666666666666664,-5.390970506668091,41.19999999999999,29,3,P8,session_39__set_9__cleaned_SOUND.mat,09_04KK_PPC_L_35MSO_real.hdf5
04KK,39,real,PPC_L,after,p60,55.0,70.0,4.755792665481567,4.755792665481567,56.53333333333334,4.8003312361240384,56.0,10,3,CP1,session_39__set_9__cleaned_SOUND.mat,09_04KK_PPC_L_35MSO_real.hdf5
04KK,39,real,PPC_L,after,n100,80.0,120.0,7.569672904722393,-7.569672904722393,91.40000000000002,-7.611378506459296,91.80000000000001,15,3,Fp2,session_39__set_9__cleaned_SOUND.mat,09_04KK_PPC_L_35MSO_real.hdf5
04KK,39,MI,M1_PA,rest,n20,10.0,25.0,6.419477092226347,-6.419477092226347,12.666666666666648,-6.4857820749282835,13.399999999999977,54,3,PO8,session_39__set_2__cleaned_SOUND.mat; session_39__set_8__cleaned_SOUND.mat,02_04KK_M1_PA_32MSO_MI.hdf5; 08_04KK_M1_PA_32MSO_MI.hdf5
04KK,39,MI,M1_PA,rest,p30,20.0,40.0,4.304785682770113,4.304785682770113,36.06666666666666,4.3872215961664915,34.0,22,3,C4,session_39__set_2__cleaned_SOUND.mat; session_39__set_8__cleaned_SOUND.mat,02_04KK_M1_PA_32MSO_MI.hdf5; 08_04KK_M1_PA_32MSO_MI.hdf5
04KK,39,MI,M1_PA,rest,n45,40.0,55.0,8.701819990823667,-8.701819990823667,54.666666666666664,-8.97906872600317,55.0,38,3,CP3,session_39__set_2__cleaned_SOUND.mat; session_39__set_8__cleaned_SOUND.mat,02_04KK_M1_PA_32MSO_MI.hdf5; 08_04KK_M1_PA_32MSO_MI.hdf5
04KK,39,MI,M1_PA,rest,p60,55.0,70.0,6.520959001978238,6.520959001978238,62.59999999999999,6.6804670810699465,63.39999999999998,48,3,FCz,session_39__set_2__cleaned_SOUND.mat; session_39__set_8__cleaned_SOUND.mat,02_04KK_M1_PA_32MSO_MI.hdf5; 08_04KK_M1_PA_32MSO_MI.hdf5
04KK,39,MI,M1_PA,rest,n100,80.0,120.0,5.0127604169646895,-5.0127604169646895,109.86666666666666,-5.136933177858591,119.80000000000001,56,3,P6,session_39__set_2__cleaned_SOUND.mat; session_39__set_8__cleaned_SOUND.mat,02_04KK_M1_PA_32MSO_MI.hdf5; 08_04KK_M1_PA_32MSO_MI.hdf5
04KK,39,MI,M1_PA,onset,n20,10.0,25.0,4.568244195630153,-4.568244195630153,23.600000000000005,-4.706928012669087,23.600000000000023,58,3,FC4,session_39__set_2__cleaned_SOUND.mat; session_39__set_8__cleaned_SOUND.mat,02_04KK_M1_PA_32MSO_MI.hdf5; 08_04KK_M1_PA_32MSO_MI.hdf5
