subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,amplitude_abs_mean_topn_uv,amplitude_signed_mean_topn_uv,latency_mean_topn_ms,peak_amplitude_uv,peak_latency_ms,peak_channel_idx,n_selected,peak_channel,source_files,source_originals
14AL,58,real,M1_AP,after,p60,55.0,70.0,7.774111467314262,7.774111467314262,63.73333333333335,8.13027125749737,66.0,15,3,Fp2,session_58__set_1__cleaned_SOUND.mat; session_58__set_5__cleaned_SOUND.mat,00_14AL_M1_AP_54MSO_real.hdf5; 04_14AL_M1_AP_54MSO_real.hdf5
14AL,58,real,M1_AP,after,n100,80.0,120.0,7.073386169771354,-7.073386169771354,89.86666666666667,-7.284456519633531,91.0,11,3,O1,session_58__set_1__cleaned_SOUND.mat; session_58__set_5__cleaned_SOUND.mat,00_14AL_M1_AP_54MSO_real.hdf5; 04_14AL_M1_AP_54MSO_real.hdf5
14AL,58,real,PPC_L,rest,n20,10.0,25.0,7.667488822142283,-7.667488822142283,15.733333333333348,-8.18775431752205,16.80000000000001,20,3,O2,session_58__set_9__cleaned_SOUND.mat,08_14AL_PPC_L_52MSO_real.hdf5
14AL,58,real,PPC_L,rest,p30,20.0,40.0,20.971368920604387,20.971368920604387,38.666666666666664,21.984798723459242,39.39999999999998,12,3,Fp1,session_58__set_9__cleaned_SOUND.mat,08_14AL_PPC_L_52MSO_real.hdf5
14AL,58,real,PPC_L,rest,n45,40.0,55.0,9.472936849196751,-9.472936849196751,53.00000000000002,-9.726826790571213,54.80000000000001,11,3,O1,session_58__set_9__cleaned_SOUND.mat,08_14AL_PPC_L_52MSO_real.hdf5
14AL,58,real,PPC_L,rest,p60,55.0,70.0,27.2581388070186,27.2581388070186,67.39999999999998,28.767653195858003,67.39999999999998,12,3,Fp1,session_58__set_9__cleaned_SOUND.mat,08_14AL_PPC_L_52MSO_real.hdf5
14AL,58,real,PPC_L,rest,n100,80.0,120.0,9.921009997824827,-9.921009997824827,109.26666666666667,-10.171498355865479,109.19999999999999,20,3,O2,session_58__set_9__cleaned_SOUND.mat,08_14AL_PPC_L_52MSO_real.hdf5
14AL,58,real,PPC_L,onset,n20,10.0,25.0,5.569314382473627,-5.569314382473627,17.133333333333326,-5.700787045359611,16.0,54,3,PO8,session_58__set_9__cleaned_SOUND.mat,08_14AL_PPC_L_52MSO_real.hdf5
14AL,58,real,PPC_L,onset,p30,20.0,40.0,9.178241026103496,9.178241026103496,27.799999999999994,10.045879936218261,28.600000000000023,11,3,O1,session_58__set_9__cleaned_SOUND.mat,08_14AL_PPC_L_52MSO_real.hdf5
14AL,58,real,PPC_L,onset,n45,40.0,55.0,5.878154623111089,-5.878154623111089,43.6,-6.375406355857849,44.60000000000002,49,3,F2,session_58__set_9__cleaned_SOUND.mat,08_14AL_PPC_L_52MSO_real.hdf5
