subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,amplitude_abs_mean_topn_uv,amplitude_signed_mean_topn_uv,latency_mean_topn_ms,peak_amplitude_uv,peak_latency_ms,peak_channel_idx,n_selected,peak_channel,source_files,source_originals
09TI,55,MI,M1_AP,rest,n100,80.0,120.0,4.877094790774088,-4.877094790774088,111.26666666666667,-5.257218952178955,118.19999999999999,28,3,CP6,session_55__set_2__cleaned_SOUND.mat; session_55__set_6__cleaned_SOUND.mat,01_09TI_M1_AP_55MSO_MI.hdf5; 05_09TI_M1_AP_50MSO_MI.hdf5
09TI,55,MI,M1_AP,onset,n20,10.0,25.0,8.16336343333125,-8.16336343333125,11.066666666666643,-8.528876532912255,10.399999999999977,10,3,CP1,session_55__set_2__cleaned_SOUND.mat; session_55__set_6__cleaned_SOUND.mat,01_09TI_M1_AP_55MSO_MI.hdf5; 05_09TI_M1_AP_50MSO_MI.hdf5
09TI,55,MI,M1_AP,onset,p30,20.0,40.0,11.535578367387254,11.535578367387254,38.866666666666674,11.711222989559174,38.60000000000002,15,3,Fp2,session_55__set_2__cleaned_SOUND.mat; session_55__set_6__cleaned_SOUND.mat,01_09TI_M1_AP_55MSO_MI.hdf5; 05_09TI_M1_AP_50MSO_MI.hdf5
09TI,55,MI,M1_AP,onset,n45,40.0,55.0,5.8199407392243545,-5.8199407392243545,41.53333333333334,-6.0221235871315,41.60000000000002,50,3,CPz,session_55__set_2__cleaned_SOUND.mat; session_55__set_6__cleaned_SOUND.mat,01_09TI_M1_AP_55MSO_MI.hdf5; 05_09TI_M1_AP_50MSO_MI.hdf5
09TI,55,MI,M1_AP,onset,p60,55.0,70.0,10.886790134714294,10.886790134714294,59.0,11.822359257936478,58.80000000000001,12,3,Fp1,session_55__set_2__cleaned_SOUND.mat; session_55__set_6__cleaned_SOUND.mat,01_09TI_M1_AP_55MSO_MI.hdf5; 05_09TI_M1_AP_50MSO_MI.hdf5
09TI,55,MI,M1_AP,onset,n100,80.0,120.0,9.624650643989444,-9.624650643989444,119.0,-9.676424896791577,119.39999999999998,29,3,P8,session_55__set_2__cleaned_SOUND.mat; session_55__set_6__cleaned_SOUND.mat,01_09TI_M1_AP_55MSO_MI.hdf5; 05_09TI_M1_AP_50MSO_MI.hdf5
09TI,55,MI,M1_AP,after,n20,10.0,25.0,7.818153545260429,-7.818153545260429,13.333333333333352,-8.109434778690337,14.600000000000023,40,3,PO3,session_55__set_2__cleaned_SOUND.mat; session_55__set_6__cleaned_SOUND.mat,01_09TI_M1_AP_55MSO_MI.hdf5; 05_09TI_M1_AP_50MSO_MI.hdf5
09TI,55,MI,M1_AP,after,p30,20.0,40.0,12.252491202453774,12.252491202453774,38.466666666666676,12.724568895101548,39.60000000000002,12,3,Fp1,session_55__set_2__cleaned_SOUND.mat; session_55__set_6__cleaned_SOUND.mat,01_09TI_M1_AP_55MSO_MI.hdf5; 05_09TI_M1_AP_50MSO_MI.hdf5
09TI,55,MI,M1_AP,after,n45,40.0,55.0,6.334234696701169,-6.334234696701169,41.533333333333324,-6.452870884537697,40.39999999999998,10,3,CP1,session_55__set_2__cleaned_SOUND.mat; session_55__set_6__cleaned_SOUND.mat,01_09TI_M1_AP_55MSO_MI.hdf5; 05_09TI_M1_AP_50MSO_MI.hdf5
09TI,55,MI,M1_AP,after,p60,55.0,70.0,9.480442820092042,9.480442820092042,61.466666666666676,10.245442556738853,60.80000000000001,34,3,AF7,session_55__set_2__cleaned_SOUND.mat; session_55__set_6__cleaned_SOUND.mat,01_09TI_M1_AP_55MSO_MI.hdf5; 05_09TI_M1_AP_50MSO_MI.hdf5
09TI,55,MI,M1_AP,after,n100,80.0,120.0,5.517066556811333,-5.517066556811333,96.60000000000001,-5.783770998716355,87.80000000000001,62,3,FT8,session_55__set_2__cleaned_SOUND.mat; session_55__set_6__cleaned_SOUND.mat,01_09TI_M1_AP_55MSO_MI.hdf5; 05_09TI_M1_AP_50MSO_MI.hdf5
