subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,amplitude_abs_mean_topn_uv,amplitude_signed_mean_topn_uv,latency_mean_topn_ms,peak_amplitude_uv,peak_latency_ms,peak_channel_idx,n_selected,peak_channel,source_files,source_originals
05UB,43,real,PPC_L,rest,p30,20.0,40.0,6.385100421905517,6.385100421905517,23.933333333333337,7.124122370481491,20.80000000000001,43,3,P1,session_43__set_9__cleaned_SOUND.mat,09_05UB_PPC_L_32MSO_real.hdf5
05UB,43,real,PPC_L,rest,n45,40.0,55.0,4.168071548144023,-4.168071548144023,46.79999999999999,-4.443451294898987,48.39999999999998,7,3,F3,session_43__set_9__cleaned_SOUND.mat,09_05UB_PPC_L_32MSO_real.hdf5
05UB,43,real,PPC_L,rest,p60,55.0,70.0,4.267331542571386,4.267331542571386,66.06666666666666,4.641609048843383,66.39999999999998,26,3,F8,session_43__set_9__cleaned_SOUND.mat,09_05UB_PPC_L_32MSO_real.hdf5
05UB,43,real,PPC_L,rest,n100,80.0,120.0,4.901234759291014,-4.901234759291014,92.46666666666665,-5.38291518330574,86.39999999999998,49,3,F2,session_43__set_9__cleaned_SOUND.mat,09_05UB_PPC_L_32MSO_real.hdf5
05UB,43,real,PPC_L,onset,n20,10.0,25.0,4.521354630291461,-4.521354630291461,18.26666666666665,-4.736559709906578,10.199999999999989,34,3,AF7,session_43__set_9__cleaned_SOUND.mat,09_05UB_PPC_L_32MSO_real.hdf5
05UB,43,real,PPC_L,onset,p30,20.0,40.0,6.860502436161042,6.860502436161042,28.000000000000018,8.043935079574585,27.600000000000023,43,3,P1,session_43__set_9__cleaned_SOUND.mat,09_05UB_PPC_L_32MSO_real.hdf5
05UB,43,real,PPC_L,onset,n45,40.0,55.0,5.834546261976162,-5.834546261976162,48.4,-5.954963604062796,48.0,48,3,FCz,session_43__set_9__cleaned_SOUND.mat,09_05UB_PPC_L_32MSO_real.hdf5
05UB,43,real,PPC_L,onset,p60,55.0,70.0,4.171076305558284,4.171076305558284,60.06666666666666,4.511561799049377,55.19999999999999,43,3,P1,session_43__set_9__cleaned_SOUND.mat,09_05UB_PPC_L_32MSO_real.hdf5
05UB,43,real,PPC_L,onset,n100,80.0,120.0,5.24819469700257,-5.24819469700257,80.66666666666667,-5.550711379051209,80.60000000000002,45,3,F1,session_43__set_9__cleaned_SOUND.mat,09_05UB_PPC_L_32MSO_real.hdf5
05UB,43,real,PPC_L,after,n20,10.0,25.0,6.204453514615694,-6.204453514615694,20.533333333333342,-6.391936268806457,18.80000000000001,15,3,Fp2,session_43__set_9__cleaned_SOUND.mat,09_05UB_PPC_L_32MSO_real.hdf5
05UB,43,real,PPC_L,after,p30,20.0,40.0,5.499924694697062,5.499924694697062,24.066666666666663,5.937185581922531,22.80000000000001,43,3,P1,session_43__set_9__cleaned_SOUND.mat,09_05UB_PPC_L_32MSO_real.hdf5
05UB,43,real,PPC_L,after,n45,40.0,55.0,4.962438114682834,-4.962438114682834,50.06666666666664,-5.4432533538341525,49.39999999999998,15,3,Fp2,session_43__set_9__cleaned_SOUND.mat,09_05UB_PPC_L_32MSO_real.hdf5
05UB,43,real,PPC_L,after,p60,55.0,70.0,4.405968442956606,4.405968442956606,58.26666666666667,4.731619205474853,55.80000000000001,16,3,Cz,session_43__set_9__cleaned_SOUND.mat,09_05UB_PPC_L_32MSO_real.hdf5
05UB,43,real,PPC_L,after,n100,80.0,120.0,6.056557933688164,-6.056557933688164,109.2,-6.2770645076036455,92.60000000000002,15,3,Fp2,session_43__set_9__cleaned_SOUND.mat,09_05UB_PPC_L_32MSO_real.hdf5
05UB,43,MI,M1_PA,rest,n20,10.0,25.0,4.552280987252792,-4.552280987252792,10.600000000000023,-5.121595429480076,10.600000000000023,34,3,AF7,session_43__set_4__cleaned_SOUND.mat; session_43__set_8__cleaned_SOUND.mat,04_05UB_M1_PA_25MSO_MI.hdf5; 08_05UB_M1_PA_25MSO_MI.hdf5
05UB,43,MI,M1_PA,rest,p30,20.0,40.0,3.2082962922255196,3.2082962922255196,26.866666666666674,3.409551075696945,26.80000000000001,18,3,CP2,session_43__set_4__cleaned_SOUND.mat; session_43__set_8__cleaned_SOUND.mat,04_05UB_M1_PA_25MSO_MI.hdf5; 08_05UB_M1_PA_25MSO_MI.hdf5
05UB,43,MI,M1_PA,rest,n45,40.0,55.0,3.4530565674106275,-3.4530565674106275,45.73333333333333,-3.646940277516842,41.0,44,3,AF3,session_43__set_4__cleaned_SOUND.mat; session_43__set_8__cleaned_SOUND.mat,04_05UB_M1_PA_25MSO_MI.hdf5; 08_05UB_M1_PA_25MSO_MI.hdf5
05UB,43,MI,M1_PA,rest,p60,55.0,70.0,3.2413544139266013,3.2413544139266013,62.19999999999999,3.6272951248288154,58.39999999999998,32,3,FT7,session_43__set_4__cleaned_SOUND.mat; session_43__set_8__cleaned_SOUND.mat,04_05UB_M1_PA_25MSO_MI.hdf5; 08_05UB_M1_PA_25MSO_MI.hdf5
05UB,43,MI,M1_PA,rest,n100,80.0,120.0,3.9558209357659018,-3.9558209357659018,91.8,-4.541490513086319,85.19999999999999,48,3,FCz,session_43__set_4__cleaned_SOUND.mat; session_43__set_8__cleaned_SOUND.mat,04_05UB_M1_PA_25MSO_MI.hdf5; 08_05UB_M1_PA_25MSO_MI.hdf5
