subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,amplitude_abs_mean_topn_uv,amplitude_signed_mean_topn_uv,latency_mean_topn_ms,peak_amplitude_uv,peak_latency_ms,peak_channel_idx,n_selected,peak_channel,source_files,source_originals
08EN,45,real,M1_AP,after,n100,80.0,120.0,8.313610378503801,-8.313610378503801,110.80000000000001,-8.404968767166137,113.0,11,3,O1,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,MI,M1_PA,rest,n20,10.0,25.0,12.262086197733879,-12.262086197733879,23.866666666666674,-13.65422466158867,24.19999999999999,32,3,FT7,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,rest,p30,20.0,40.0,10.41250373321275,10.41250373321275,26.933333333333337,12.202140437215567,24.0,37,3,FC3,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,rest,n45,40.0,55.0,9.024537743479014,-9.024537743479014,47.26666666666665,-11.42672827064991,48.39999999999998,4,3,FT9,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,rest,p60,55.0,70.0,7.676162864069145,7.676162864069145,60.866666666666674,8.551606304347516,57.0,37,3,FC3,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,rest,n100,80.0,120.0,14.21978745803237,-14.21978745803237,102.46666666666668,-14.788931770324707,101.60000000000002,0,3,T7,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,onset,n20,10.0,25.0,4.892040309558312,-4.892040309558312,17.46666666666668,-5.004047948718071,16.600000000000023,54,3,PO8,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,onset,p30,20.0,40.0,4.153820423086484,4.153820423086484,31.933333333333337,4.270245292782784,37.60000000000002,31,3,TP10,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,onset,n45,40.0,55.0,4.9513297229011854,-4.9513297229011854,52.13333333333335,-5.119149668812752,54.60000000000002,4,3,FT9,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,onset,p60,55.0,70.0,5.171411994695664,5.171411994695664,55.93333333333334,5.320045456886292,57.0,19,3,Pz,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,onset,n100,80.0,120.0,7.703930553818743,-7.703930553818743,99.73333333333333,-8.266167648434639,104.19999999999999,11,3,O1,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,after,n20,10.0,25.0,5.554146885871887,-5.554146885871887,20.066666666666663,-5.731434519886971,22.399999999999977,39,3,P5,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,after,p30,20.0,40.0,9.032977747668822,9.032977747668822,39.666666666666664,10.21373389750719,39.80000000000001,15,3,Fp2,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,after,n45,40.0,55.0,6.034508533403279,-6.034508533403279,44.26666666666667,-6.157891769558192,42.39999999999998,37,3,FC3,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,after,p60,55.0,70.0,10.678567739129065,10.678567739129065,59.333333333333336,11.329545718431472,56.80000000000001,15,3,Fp2,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_PA,after,n100,80.0,120.0,8.627715269550679,-8.627715269550679,102.2,-8.920856318995357,103.39999999999998,0,3,T7,session_45__set_2__cleaned_SOUND.mat; session_45__set_6__cleaned_SOUND.mat,02_08EN_M1_PA_39MSO_MI.hdf5; 06_08EN_M1_PA_39MSO_MI.hdf5
08EN,45,MI,M1_AP,rest,n20,10.0,25.0,7.706327768365541,-7.706327768365541,15.133333333333326,-9.138848128318786,10.199999999999989,9,3,C3,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,rest,p30,20.0,40.0,10.748991430799165,10.748991430799165,32.666666666666664,11.279438573718071,20.399999999999977,15,3,Fp2,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,rest,n45,40.0,55.0,6.063759042223295,-6.063759042223295,49.66666666666665,-6.610472083687783,52.19999999999999,31,3,TP10,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,rest,p60,55.0,70.0,10.284859965095917,10.284859965095917,55.4,11.883548603653908,55.19999999999999,15,3,Fp2,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,rest,n100,80.0,120.0,10.251500967741014,-10.251500967741014,108.39999999999999,-11.145090929269792,111.80000000000001,0,3,T7,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,onset,n20,10.0,25.0,6.456488361974963,-6.456488361974963,15.133333333333345,-7.588783251387732,10.600000000000023,9,3,C3,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,onset,p30,20.0,40.0,5.719526775738821,5.719526775738821,21.066666666666663,6.163744393355993,21.0,45,3,F1,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,onset,n45,40.0,55.0,5.127536401982565,-5.127536401982565,51.93333333333334,-5.526247731885132,53.0,31,3,TP10,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,onset,p60,55.0,70.0,5.411316122783689,5.411316122783689,69.33333333333336,5.505051872559956,68.60000000000002,19,3,Pz,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,onset,n100,80.0,120.0,6.7714629638053125,-6.7714629638053125,107.06666666666666,-7.272661047474462,118.19999999999999,0,3,T7,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,after,n20,10.0,25.0,8.460563313017289,-8.460563313017289,14.46666666666666,-9.10040489718318,17.0,10,3,CP1,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,after,p30,20.0,40.0,15.088530116354425,15.088530116354425,39.06666666666666,16.064323861300945,39.0,34,3,AF7,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,after,n45,40.0,55.0,9.099968997829905,-9.099968997829905,45.00000000000002,-9.2616009029001,45.80000000000001,10,3,CP1,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,after,p60,55.0,70.0,18.33022946238518,18.33022946238518,67.60000000000001,19.786156833171844,69.0,12,3,Fp1,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
08EN,45,MI,M1_AP,after,n100,80.0,120.0,9.846487327019373,-9.846487327019373,95.73333333333333,-10.711724176406861,95.39999999999998,1,3,TP9,session_45__set_4__cleaned_SOUND.mat; session_45__set_8__cleaned_SOUND.mat,04_08EN_M1_AP_45MSO_MI.hdf5; 08_08EN_M1_AP_45MSO_MI.hdf5
